7516.057: [GC 7516.057: [ParNew: 439397K->11479K(471872K), 0.0557800 secs] 2207836K->1780075K(11361088K), 0.0560210 secs] [Times: user=0.39 sys=0.00, real=0.06 secs] 
8200.610: [GC 8200.610: [ParNew: 430935K->11936K(471872K), 0.0582310 secs] 2199531K->1780692K(11361088K), 0.0584750 secs] [Times: user=0.43 sys=0.00, real=0.06 secs] 
8837.826: [GC 8837.827: [ParNew: 431392K->13865K(471872K), 0.0741910 secs] 2200148K->1784051K(11361088K), 0.0744460 secs] [Times: user=0.40 sys=0.00, real=0.08 secs] 
8912.513: [GC 8912.514: [ParNew: 433321K->19450K(471872K), 0.0582300 secs] 2203507K->1789848K(11361088K), 0.0584600 secs] [Times: user=0.42 sys=0.00, real=0.06 secs] 
9080.389: [GC 9080.389: [ParNew: 438906K->23255K(471872K), 0.0482980 secs] 2209304K->1794065K(11361088K), 0.0485580 secs] [Times: user=0.42 sys=0.00, real=0.05 secs] 
9275.233: [GC 9275.233: [ParNew: 442711K->36506K(471872K), 0.0587070 secs] 2213521K->1807630K(11361088K), 0.0589620 secs] [Times: user=0.48 sys=0.01, real=0.05 secs] 
9348.082: [GC 9348.082: [ParNew: 455962K->52416K(471872K), 0.0893620 secs] 2227086K->1837304K(11361088K), 0.0896040 secs] [Times: user=0.59 sys=0.02, real=0.09 secs] 
9496.830: [GC 9496.831: [ParNew: 471872K->44399K(471872K), 0.1942770 secs] 2256760K->1876748K(11361088K), 0.1945100 secs] [Times: user=0.64 sys=0.17, real=0.20 secs] 
9534.060: [GC 9534.060: [ParNew: 463855K->41762K(471872K), 0.0667430 secs] 2296204K->1874111K(11361088K), 0.0669960 secs] [Times: user=0.47 sys=0.00, real=0.06 secs] 
9535.267: [GC 9535.267: [ParNew: 461218K->52416K(471872K), 0.0752350 secs] 2293567K->1902628K(11361088K), 0.0754750 secs] [Times: user=0.44 sys=0.06, real=0.08 secs] 
9546.062: [GC 9546.062: [ParNew: 471872K->45534K(471872K), 0.1614270 secs] 2322084K->1947387K(11361088K), 0.1616640 secs] [Times: user=0.43 sys=0.16, real=0.16 secs] 
9560.659: [GC 9560.659: [ParNew: 464990K->40990K(471872K), 0.0428350 secs] 2366843K->1942843K(11361088K), 0.0430830 secs] [Times: user=0.46 sys=0.01, real=0.05 secs] 
9569.944: [GC 9569.945: [ParNew: 460446K->52415K(471872K), 0.0795070 secs] 2362299K->1968431K(11361088K), 0.0797450 secs] [Times: user=0.38 sys=0.04, real=0.08 secs] 
9573.203: [GC 9573.203: [ParNew: 471871K->52416K(471872K), 0.5096500 secs] 2387887K->2058233K(11361088K), 0.5098850 secs] [Times: user=0.92 sys=0.12, real=0.51 secs] 
9576.450: [GC 9576.450: [ParNew: 471872K->52416K(471872K), 0.7087980 secs] 2477689K->2178960K(11361088K), 0.7090310 secs] [Times: user=1.28 sys=0.22, real=0.71 secs] 
9579.943: [GC 9579.943: [ParNew: 471872K->52416K(471872K), 0.6355030 secs] 2598416K->2290657K(11361088K), 0.6357250 secs] [Times: user=1.20 sys=0.16, real=0.63 secs] 
9583.192: [GC 9583.193: [ParNew: 471872K->52416K(471872K), 0.6096130 secs] 2710113K->2401619K(11361088K), 0.6098490 secs] [Times: user=1.23 sys=0.17, real=0.61 secs] 
9588.138: [GC 9588.138: [ParNew: 471872K->52416K(471872K), 0.4892390 secs] 2821075K->2479691K(11361088K), 0.4895170 secs] [Times: user=1.50 sys=0.20, real=0.49 secs] 
9596.191: [GC 9596.191: [ParNew: 471872K->49745K(471872K), 0.2288460 secs] 2899147K->2521598K(11361088K), 0.2291080 secs] [Times: user=0.73 sys=0.17, real=0.23 secs] 
9597.707: [GC 9597.707: [ParNew: 469201K->17831K(471872K), 0.0412870 secs] 2941054K->2489684K(11361088K), 0.0415570 secs] [Times: user=0.51 sys=0.00, real=0.04 secs] 
9598.995: [GC 9598.995: [ParNew: 437287K->16888K(471872K), 0.0507280 secs] 2909140K->2488740K(11361088K), 0.0509990 secs] [Times: user=0.61 sys=0.00, real=0.05 secs] 
9600.266: [GC 9600.266: [ParNew: 436344K->17627K(471872K), 0.0450290 secs] 2908196K->2489480K(11361088K), 0.0452780 secs] [Times: user=0.54 sys=0.00, real=0.04 secs] 
9601.433: [GC 9601.433: [ParNew: 437083K->15396K(471872K), 0.0446090 secs] 2908936K->2488835K(11361088K), 0.0448370 secs] [Times: user=0.50 sys=0.01, real=0.05 secs] 
