76.488: [GC [PSYoungGen: 320022K->16854K(325184K)] 926053K->629617K(1024256K), 0.0648390 secs] [Times: user=0.10 sys=0.00, real=0.07 secs] 
76.985: [GC [PSYoungGen: 318166K->21151K(324864K)] 930929K->640707K(1023936K), 0.0666980 secs] [Times: user=0.10 sys=0.01, real=0.06 secs] 
77.406: [GC [PSYoungGen: 322399K->20309K(321600K)] 941955K->646451K(1020672K), 0.0484140 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
77.831: [GC [PSYoungGen: 321557K->19643K(325440K)] 947699K->651977K(1024512K), 0.0665840 secs] [Times: user=0.12 sys=0.02, real=0.07 secs] 
78.389: [GC [PSYoungGen: 320827K->18206K(325248K)] 953161K->657076K(1024320K), 0.0539180 secs] [Times: user=0.12 sys=0.01, real=0.06 secs] 
78.816: [GC [PSYoungGen: 319390K->16154K(325952K)] 958260K->660732K(1025024K), 0.0562290 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
79.307: [GC [PSYoungGen: 318490K->17399K(325888K)] 963068K->667383K(1024960K), 0.0440440 secs] [Times: user=0.10 sys=0.00, real=0.04 secs] 
79.751: [GC [PSYoungGen: 319735K->15089K(326144K)] 969719K->672053K(1025216K), 0.0394810 secs] [Times: user=0.09 sys=0.01, real=0.04 secs] 
80.236: [GC [PSYoungGen: 318001K->20584K(323520K)] 974965K->685774K(1022592K), 0.0621060 secs] [Times: user=0.11 sys=0.01, real=0.06 secs] 
80.750: [GC [PSYoungGen: 323496K->19006K(326016K)] 988686K->694165K(1025088K), 0.0556230 secs] [Times: user=0.11 sys=0.01, real=0.06 secs] 
81.277: [GC [PSYoungGen: 321278K->22844K(325120K)] 996437K->703269K(1024192K), 0.0861960 secs] [Times: user=0.18 sys=0.02, real=0.09 secs] 
81.798: [GC [PSYoungGen: 325116K->19451K(325248K)] 1005541K->706293K(1024320K), 0.0508580 secs] [Times: user=0.11 sys=0.01, real=0.05 secs] 
82.315: [GC [PSYoungGen: 320315K->21689K(322560K)] 1007157K->716459K(1021632K), 0.0726400 secs] [Times: user=0.12 sys=0.03, real=0.07 secs] 
82.388: [Full GC [PSYoungGen: 21689K->0K(322560K)] [PSOldGen: 694769K->231978K(699072K)] 716459K->231978K(1021632K) [PSPermGen: 91441K->91441K(262144K)], 1.1867660 secs] [Times: user=1.18 sys=0.01, real=1.19 secs] 
83.929: [GC [PSYoungGen: 300864K->17951K(325056K)] 532842K->249929K(1024128K), 0.0398090 secs] [Times: user=0.08 sys=0.01, real=0.04 secs] 
84.402: [GC [PSYoungGen: 318239K->21698K(322048K)] 550217K->261633K(1021120K), 0.0627570 secs] [Times: user=0.11 sys=0.00, real=0.07 secs] 
84.928: [GC [PSYoungGen: 321986K->19747K(324992K)] 561921K->268852K(1024064K), 0.0496460 secs] [Times: user=0.12 sys=0.00, real=0.05 secs] 
85.450: [GC [PSYoungGen: 319843K->16689K(324608K)] 568948K->271174K(1023680K), 0.0411440 secs] [Times: user=0.10 sys=0.01, real=0.04 secs] 
85.937: [GC [PSYoungGen: 316785K->15644K(324928K)] 571270K->275441K(1024000K), 0.0385890 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
86.330: [GC [PSYoungGen: 316124K->23247K(323776K)] 575921K->287926K(1022848K), 0.0446350 secs] [Times: user=0.12 sys=0.00, real=0.05 secs] 
